time_s,x_m,y_m,z_m
12.6,-5.521350380121284,2.8486991805945867,1.7945583966868806
12.64,-5.5039800928856675,2.831742471626485,1.791663348814278
12.68,-5.476021875228632,2.8035938246388374,1.7878597470510276
12.72,-5.446656772102906,2.773781033216792,1.7845029555444563
12.76,-5.434274574092859,2.7616867933000018,1.7833511231714287
12.8,-5.421892376082811,2.7495925533832106,1.782199290798401
12.84,-5.409510178072764,2.7374983134664204,1.7810474584253733
12.88,-5.409,2.737,1.781
12.92,-5.409,2.737,1.781
12.96,-5.381210837891446,2.7098149501111974,1.7779794389012442
13,-5.363,2.692,1.776
13.04,-5.349349646502634,2.67891841123169,1.7751468529064145
13.08,-5.317302626219214,2.6482066834600797,1.7731439141387009
13.12,-5.286353731121884,2.6191725418443035,1.77209059463879
13.16,-5.2554898460550135,2.590268268527711,1.771110788763651
13.2,-5.216885185185186,2.5549654320987663,1.771616049382716
13.24,-5.181832101493991,2.5235311851721853,1.7715752290804514
13.28,-5.152388558035791,2.4978868086118178,1.7706254373559933
13.32,-5.133,2.481,1.77
13.36,-5.133,2.481,1.77
13.4,-5.133,2.481,1.77
13.44,-5.1090153211113005,2.460189763905393,1.7696472841339896
13.48,-5.068669500933628,2.425183831692412,1.7690539632490239
13.52,-5.033841475108409,2.395229999741028,1.7685611475367382
13.56,-4.999565509902827,2.3657816352686263,1.76807838746342
13.6,-4.994,2.361,1.768
13.64,-4.978029503391433,2.3470258154675046,1.7675563750942065
13.68,-4.92960497474464,2.3046543529015606,1.7662112492984623
13.72,-4.833681693879566,2.22253815616292,1.7637640935159384
13.76,-4.764,2.163,1.762
13.8,-4.764,2.163,1.762
13.84,-4.764,2.163,1.762
13.88,-4.764,2.163,1.762
13.92,-4.749756758986562,2.1510754261282847,1.762
13.96,-4.702594163220877,2.111590462231432,1.762
14,-4.678,2.091,1.762
14.04,-4.649271357019434,2.06721391925265,1.762308910139576
14.08,-4.587717436504367,2.016249920546626,1.762970780252641
14.12,-4.585,2.014,1.763
14.16,-4.567865552840292,1.999899777858157,1.7628215161754197
14.2,-4.496820183324365,1.941435359194009,1.7620814602429622
14.24,-4.489,1.935,1.762
14.28,-4.428185750661037,1.8842169670468458,1.762
14.32,-4.363999850486344,1.8308079569684867,1.7625656595861345
14.36,-4.299864037718219,1.7776853645746862,1.763861332571349
14.4,-4.293,1.772,1.764
14.44,-4.2622179760963705,1.74706656063806,1.764
14.48,-4.196236342327673,1.6936214372854155,1.764
14.52,-4.193,1.691,1.764
14.56,-4.171888886204493,1.67389999782564,1.76442222227591
14.6,-4.104333889002977,1.619180450092411,1.7657733222199405
14.64,-4.024554227803697,1.5560000691717608,1.766
14.68,-3.942310136619157,1.4911140273829528,1.766
14.72,-3.8825878820137203,1.444033335867923,1.7658835498164664
14.76,-3.854928881337456,1.4223012639080013,1.7656013151156884
14.8,-3.827269880661191,1.4005691919480785,1.7653190804149101
14.84,-3.799610879984927,1.3788371199881568,1.7650368457141319
14.88,-3.796,1.376,1.765
14.92,-3.796,1.376,1.765
14.96,-3.745678870442202,1.3355243088339452,1.7639060624009173
15,-3.704,1.302,1.763
15.04,-3.704,1.302,1.763
15.08,-3.6497726241331483,1.260097027739251,1.7611513394590845
15.12,-3.598483825843589,1.219987060674871,1.7595878547257315
15.16,-3.5613910965798694,1.1903128772638953,1.7587150846254087
15.2,-3.531,1.166,1.758
15.24,-3.531,1.166,1.758
15.28,-3.477893700813204,1.1232559055325788,1.757352362205039
15.32,-3.4257329935726473,1.0810416984666018,1.757
15.36,-3.376690438221995,1.0410810978105145,1.757
15.4,-3.3345507369288265,1.0080768211198408,1.757
15.44,-3.293897669572382,0.976570693918596,1.757
15.48,-3.288,0.972,1.757
15.52,-3.288,0.972,1.757
15.56,-3.251638250171047,0.9422494774126746,1.7565277694827408
15.6,-3.212529099837127,0.9102510816849221,1.7560198584394433
15.64,-3.163869358114297,0.8712954864914375,1.756
15.68,-3.1201070603544396,0.8359373098803612,1.756217711501994
15.72,-3.0833006565269523,0.8056854711180428,1.7567219088146993
15.76,-3.0524174969964193,0.780034268288633,1.7574409376251492
15.8,-3.0288194210072885,0.7600414539089526,1.758424190791363
15.84,-3.0052213450181586,0.740048639529273,1.7594074439575766
15.88,-2.991,0.728,1.76
15.92,-2.991,0.728,1.76
15.96,-2.967020459588746,0.7070601196408766,1.7603377400057922
16,-2.92,0.666,1.761
16.04,-2.92,0.666,1.761
16.08,-2.8755384050938773,0.6273377435598935,1.7616443709406684
16.12,-2.8368307585728005,0.5933111270801198,1.7622114812153313
16.16,-2.8065773769018145,0.5662185464792371,1.762663024225346
16.2,-2.773998796141565,0.5375482784294915,1.7628591379738248
16.24,-2.7345811242409717,0.5042375697811029,1.7623039594963517
16.28,-2.713,0.486,1.762
16.32,-2.713,0.486,1.762
16.36,-2.6734552853876927,0.4532343793212312,1.7625649244944614
16.4,-2.633510604186351,0.42043598884419314,1.7628624725244397
16.44,-2.5959254046577755,0.3904767718286619,1.762317759487794
16.48,-2.574,0.373,1.762
16.52,-2.574,0.373,1.762
16.56,-2.574,0.373,1.762
16.6,-2.4993138856911705,0.3113839556952155,1.7601328471422792
16.64,-2.433051868343066,0.2535531768546889,1.7595311682180235
16.68,-2.3679623806638954,0.1964747030437239,1.7590304798512606
16.72,-2.364,0.193,1.759
16.76,-2.364,0.193,1.759
16.8,-2.364,0.193,1.759
16.84,-2.364,0.193,1.759
16.88,-2.3078775899438657,0.13978047322263146,1.759
16.92,-2.275446443509638,0.11161283757650556,1.759
16.96,-2.2439096944858203,0.08437655432866284,1.759
17,-2.24,0.081,1.759
17.04,-2.2281254505846046,0.0714343907487091,1.758835075702564
17.08,-2.1894837285392126,0.04030633687881005,1.7582983851186
17.12,-2.155889501895065,0.013138594400266986,1.7578269928842152
17.16,-2.1286153045109986,-0.009070394898186764,1.757437361493014
17.2,-2.101341107126933,-0.03127938419664051,1.7570477301018133
17.24,-2.098,-0.034,1.757
17.28,-2.059364512402407,-0.06535633776036512,1.757
17.32,-2.020173488282006,-0.09746858683830231,1.7571357924879691
17.36,-1.9876783962812323,-0.12496443391588036,1.7576357169802888
17.4,-1.9545581570810955,-0.1532616125540413,1.758
17.44,-1.9197590028325662,-0.1837108725215045,1.758
17.48,-1.9,-0.201,1.758
17.52,-1.9,-0.201,1.758
17.56,-1.8928377469210347,-0.20720015938179082,1.7577862014006278
17.6,-1.855136390834204,-0.23983715420322638,1.7566607877860956
17.64,-1.833,-0.259,1.756
17.68,-1.76902791241087,-0.3144424759105792,1.756
17.72,-1.689926509345091,-0.3827674848136736,1.756
17.76,-1.6730812682981562,-0.3968877603971337,1.756
17.8,-1.6562360272512229,-0.41100803598059243,1.756
17.84,-1.6393907862042896,-0.42512831156405123,1.756
17.88,-1.620841790870709,-0.44063184094107577,1.7561387607443832
17.92,-1.6001464826828289,-0.45787793109764263,1.7564523260199572
17.96,-1.5794511744949504,-0.47512402125420794,1.756765891295531
18,-1.5544200084083075,-0.4955782023038762,1.7571429849491296
18.04,-1.5166137872025571,-0.5254846160934997,1.7577072569074246
18.08,-1.497,-0.541,1.758
18.12,-1.497,-0.541,1.758
18.16,-1.497,-0.541,1.758
18.2,-1.456769171772714,-0.5731846625818288,1.7604757432755254
18.24,-1.4171256550364641,-0.6051283120471908,1.762457672152724
18.28,-1.384652431503687,-0.6316064789277629,1.763456848261425
18.32,-1.3478410339358569,-0.6626868414107052,1.7670901558167973
18.36,-1.30586261696349,-0.6992486884511538,1.7738608682316952
18.4,-1.305,-0.7,1.774
18.44,-1.305,-0.7,1.774
18.48,-1.2798861740208431,-0.7228307508901426,1.7758264600712115
18.52,-1.2506296804999384,-0.7494275631818741,1.77795420505455
18.56,-1.233877493096652,-0.7649976808403237,1.778374942021008
18.6,-1.2174003526474821,-0.7803252533511794,1.7787581313337795
18.64,-1.1996625079811882,-0.7977236758092756,1.7774552648381448
18.68,-1.1797669825022392,-0.8186663342081693,1.773266733158366
18.72,-1.169,-0.83,1.771
18.76,-1.169,-0.83,1.771
18.8,-1.169,-0.83,1.771
18.84,-1.169,-0.83,1.771
