time_s,rtk_x_m,rtk_y_m,rtk_z_m,ekf_x_m,ekf_y_m,ekf_error_m,ekf_rts_x_m,ekf_rts_y_m,ekf_rts_error_m,jointopt_x_m,jointopt_y_m,jointopt_z_m,jointopt_error_m
7.52,-1.1857046561072782,2.7830468353318443,1.4497409312214555,-0.023665387092099744,4.346747239019501,1.9482028167586325,-0.630563525946991,3.872480693103866,1.2227214747667068,-1.3321484097940055,3.721815053501561,1.0,0.9501218555740119
7.56,-1.187,2.746,1.45,-0.032502052192890006,4.348918002261685,1.9754016385194735,-0.6455406059230671,3.8504363622801816,1.2300235582137604,-1.3242656116435276,3.68433137351766,1.0,0.948318308727302
7.6,-1.1871956404470299,2.7242839103796905,1.4519564044702982,-0.04387983262372156,4.339487264391336,1.9789019458348944,-0.6554147115726228,3.82430212331238,1.2218146443295543,-1.31638281349305,3.6468476935337595,1.0,0.9315649519315173
7.64,-1.187765780800906,2.6250456840385046,1.461288205595017,-0.0548593430812926,4.328706444533633,2.0459562516039744,-0.6617630980772545,3.794976297337569,1.2827378774195464,-1.3085000153425725,3.6093640135498593,1.0,0.9916951795800895
7.68,-1.1865632595310964,2.5739385300716044,1.4679020725789689,-0.06510307098659776,4.318437971788146,2.0738734909920584,-0.6650897448405207,3.762572470361677,1.2979927852392887,-1.3006172171920947,3.5718803335659595,1.0,1.0044382252879978
7.72,-1.1846268436205756,2.5330644046537647,1.4726020157759954,-0.06803161451707064,4.303690942911983,2.093299606755084,-0.6655703106339751,3.726817873891044,1.3017169545458451,-1.292734419041617,3.5343966535820592,1.0,1.0071511905405326
7.76,-1.1820437862388569,2.501206696945903,1.4756155827213335,-0.07948741778994989,4.295215621847475,2.105729937155697,-0.6632636557113512,3.686619157566161,1.2939611762429002,-1.2848516208911394,3.496912973598159,1.0,1.000999720394861
7.8,-1.18,2.476,1.478,-0.056283948202838316,4.254297051531826,2.103586976702743,-0.6588990145684644,3.641138858398616,1.2763599791470068,-1.2769688227406615,3.4594292936142583,1.0,0.9881984254806061
7.84,-1.18,2.476,1.478,-0.032349619605405486,4.217058011200842,2.0852780135959064,-0.6515723718292267,3.5985805152963852,1.240734770826258,-1.2690860245901838,3.421945613630358,1.0,0.9501312665752021
7.88,-1.1775136224883842,2.458843995169852,1.4772540867465154,-0.008551590513612038,4.185353112909325,2.08501941617725,-0.6442873493873185,3.558527820310458,1.2221435159592047,-1.261203226439706,3.3844619336464583,1.0,0.9293936291148177
7.92,-1.1723717166640104,2.4233648449816725,1.4757115149992033,0.011585957586438059,4.156213106760523,2.098694563953153,-0.6382584418533388,3.520644652459449,1.220368782879768,-1.253320428289228,3.346978253662558,1.0,0.9271539368459303
7.96,-1.164078818211595,2.3833152728463807,1.473815763642319,0.02689181121632772,4.128089245906988,2.1124978715325704,-0.6338420723935438,3.4845346173531944,1.2222254502880117,-1.2454376301387504,3.309494573678658,1.0,0.9297458542894204
8.0,-1.155,2.347,1.472,0.04042744748086193,4.100585323196403,2.122288450687239,-0.6306144819667109,3.4497656181165137,1.2210946646443666,-1.2375548319882728,3.272010893694758,1.0,0.9286874898148392
8.04,-1.155,2.347,1.472,0.057624710595956,4.073180918039806,2.109540056636203,-0.6283561978291191,3.4160441811906086,1.1917252853332017,-1.229672033837795,3.2345272137108574,1.0,0.8906629372073539
8.08,-1.1475107759692855,2.3229556491645487,1.4692408121992104,0.05777017263648638,4.046410142919187,2.1030923795960765,-0.6261520926247038,3.3828013548625693,1.1811383477752855,-1.2217892356873172,3.197043533726957,1.0,0.877238234185486
8.12,-1.136,2.286,1.465,0.05697170249542857,4.0203169005812205,2.105002754059123,-0.6253013357345474,3.35062954938964,1.1807833006593993,-1.2139064375368394,3.1595598537430565,1.0,0.8770269272270217
8.16,-1.1333515266841643,2.2790591733791894,1.4645433666696837,0.05518977833141963,3.9950179422423266,2.0873775245907105,-0.625475392431138,3.319293568372302,1.1575948186954212,-1.2060236393863617,3.1220761737591562,1.0,0.8461435450880884
8.2,-1.1150037401574806,2.2309753190333974,1.4613799551995657,0.052564784207584356,3.9705670429053423,2.0950884527512863,-0.6263671759671978,3.288538142214711,1.1649913376669008,-1.198140841235884,3.0845924937752565,1.0,0.8576561423962369
8.24,-1.107,2.21,1.46,0.056688830415149036,3.945081965332272,2.089181926126654,-0.6277070589768684,3.2580937989768506,1.1524852861396235,-1.1894632764745925,3.047411636612184,1.0,0.8414620853612015
8.28,-1.107,2.21,1.46,0.06306958363247894,3.9187895407428153,2.070996022471778,-0.62890049346723,3.22779344824416,1.1244921704643462,-1.1799909451024866,3.0105336022699407,1.0,0.8038542942786596
8.32,-1.0896673041231941,2.1746413004113156,1.4593066921649278,0.07137507508101971,3.8918187171115646,2.0728525482372167,-0.6297231803905091,3.197467168963984,1.1214817672778938,-1.169723847119567,2.973958390748526,1.0,0.8033161650195235
8.36,-1.0683338691317998,2.1350842709806495,1.45831669345659,0.08112682732943659,3.8643629746850108,2.0764548460765013,-0.6299351470063796,3.1669415436114727,1.1211257158063597,-1.1586619825258333,2.9376860020479394,1.0,0.807668686270265
8.4,-1.062,2.124,1.458,0.049588221891602,3.843827967083345,2.0477882242581056,-0.6292313799202669,3.1360068328206516,1.1006573073402104,-1.1468053513212857,2.90171643616818,1.0,0.7823265320177129
8.44,-1.062,2.124,1.458,0.036560950194980915,3.825916015891305,2.025673785790948,-0.6293708713349369,3.1053273692734225,1.0724604275471368,-1.1341539535059242,2.8660496931092503,1.0,0.7455494216013231
8.48,-1.056930698090944,2.117012583855085,1.4577259836805916,0.026612876440484875,3.8093375394142965,2.009485116420829,-0.627946205261403,3.0735755890464835,1.0483513142019798,-1.1207077890797488,2.8306857728711488,1.0,0.7165172280241086
8.52,-1.0330720384655299,2.084126323290325,1.456436326403542,0.034064488230475184,3.786479997558277,2.0091760497533335,-0.6237249444477303,3.0399765148426314,1.0398147104515294,-1.1064668580427597,2.7956246754538747,1.0,0.7152738669014972
8.56,-1.00956095812571,2.0549142652329744,1.4542355380715097,0.04871298232712197,3.7611524793361726,2.007783000303478,-0.6201240976730269,3.006210300577262,1.0279227671089899,-1.0914311603949562,2.7608664008574295,1.0,0.7106835778406142
8.6,-0.99,2.032,1.452,0.06517185707398733,3.734282786614497,2.0027866420477705,-0.616752077204107,2.972239776241777,1.0116149705785478,-1.0756006961363387,2.7264109490818127,1.0,0.6996670961133798
8.64,-0.99,2.032,1.452,0.08164338426571265,3.706923718059504,1.9884136904474237,-0.6135855080824564,2.9381130189460807,0.9811873790612692,-1.0589754652669074,2.6922583201270247,1.0,0.6638513870632093
8.68,-0.9773483360281197,2.0186995327475104,1.4513511967193906,0.09804108868397965,3.6794345570095484,1.9785103577169496,-0.6105618412988023,2.903878412291855,0.9581617720965501,-1.041555467786662,2.6584085139930647,1.0,0.6429231186190801
